year,state_name,county_name,Value
2019,ILLINOIS,KNOX,4.98375580104603
2018,ILLINOIS,KNOX,5.753418394173933
2017,ILLINOIS,KNOX,5.82962261131531
2016,ILLINOIS,KNOX,5.672133895889799
2015,ILLINOIS,KNOX,5.230149436469815
2014,ILLINOIS,KNOX,5.11584311075775
2013,ILLINOIS,KNOX,4.85166849133431
2020,ILLINOIS,MCDONOUGH,5.032018471902235
2019,ILLINOIS,MCDONOUGH,4.795785398763968
2018,ILLINOIS,MCDONOUGH,5.814381767887035
2017,ILLINOIS,MCDONOUGH,5.634031787319111
2016,ILLINOIS,MCDONOUGH,5.390178292466705
2015,ILLINOIS,MCDONOUGH,4.46556712448467
2014,ILLINOIS,MCDONOUGH,5.37493744903843
2013,ILLINOIS,MCDONOUGH,4.770383993050176
2021,ILLINOIS,SCHUYLER,4.620515699338802
2020,ILLINOIS,SCHUYLER,4.643376964481215
2019,ILLINOIS,SCHUYLER,4.142969271919508
2018,ILLINOIS,SCHUYLER,5.143784657042921
2017,ILLINOIS,SCHUYLER,4.935493130189825
2016,ILLINOIS,SCHUYLER,4.737362165622246
2015,ILLINOIS,SCHUYLER,4.051524211349856
2014,ILLINOIS,SCHUYLER,5.184426906184989
2013,ILLINOIS,SCHUYLER,4.292837565630882
2020,ILLINOIS,WARREN,5.334295199896363
2019,ILLINOIS,WARREN,4.930412849047066
2018,ILLINOIS,WARREN,6.139519761023575
2017,ILLINOIS,WARREN,6.266526789592536
2016,ILLINOIS,WARREN,5.822002189601172
2015,ILLINOIS,WARREN,5.131083954186025
2014,ILLINOIS,WARREN,5.489243774750495
2013,ILLINOIS,WARREN,4.7475227279077625
2019,ILLINOIS,OTHER (COMBINED) COUNTIES,5.092981845615337
2018,ILLINOIS,OTHER (COMBINED) COUNTIES,5.30889379418257
2013,ILLINOIS,OTHER (COMBINED) COUNTIES,4.958354395332238
2021,ILLINOIS,DE WITT,5.313974075325328
2020,ILLINOIS,DE WITT,5.092981845615337
2018,ILLINOIS,DE WITT,5.715316285603246
2017,ILLINOIS,DE WITT,5.108222689043612
2016,ILLINOIS,DE WITT,5.448601525608427
2015,ILLINOIS,DE WITT,5.2784121073260195
2014,ILLINOIS,DE WITT,5.613710662748077
2021,ILLINOIS,LOGAN,5.321594497039467
2020,ILLINOIS,LOGAN,5.324134637610846
2019,ILLINOIS,LOGAN,4.932952989618445
2018,ILLINOIS,LOGAN,5.9998120295977175
2017,ILLINOIS,LOGAN,5.410499417037739
2016,ILLINOIS,LOGAN,5.573068413606009
2015,ILLINOIS,LOGAN,4.389362907343293
2014,ILLINOIS,LOGAN,5.86264443874324
2013,ILLINOIS,LOGAN,5.032018471902235
2021,ILLINOIS,MCLEAN,5.225069155327056
2020,ILLINOIS,MCLEAN,5.098062126758094
2019,ILLINOIS,MCLEAN,5.04979945590189
2018,ILLINOIS,MCLEAN,5.8245423301725525
2017,ILLINOIS,MCLEAN,5.6873747393180745
2016,ILLINOIS,MCLEAN,5.540046586178079
2015,ILLINOIS,MCLEAN,5.0599600181874065
2014,ILLINOIS,MCLEAN,5.545126867320838
2013,ILLINOIS,MCLEAN,4.790705117621209
2021,ILLINOIS,MACON,5.616250803319455
2020,ILLINOIS,MACON,5.313974075325328
