year,precip_april,precip_may,precip_june,precip_july,precip_august,precip_september,precip_october,precip_november,state
2021,72.4363556,107.293037,127.457047,142.296799,134.775543,84.1122742,94.56171415,82.37069033750001,ohio
2013,48.8849754,125.784599,70.0483932,63.5004654,59.1592064,54.2157211,113.041656,11.6151047,south dakota
2014,54.0123825,69.563591,150.586517,40.3132668,101.783272,45.4110146,11.6364841,19.6806393,south dakota
2015,28.1775684,152.650925,107.277718,80.0801849,84.254097,41.8284798,39.8129539,38.9475784,south dakota
2016,114.466469,77.1021957,55.3186798,77.3204269,64.6299515,46.3589783,30.9006214,31.2209415,south dakota
2017,56.7552032,56.4679604,57.9431534,49.6678581,80.5317001,61.4519424,40.7431412,6.27147675,south dakota
2018,36.0039978,78.0438843,120.513145,83.3688965,42.3027458,66.7802811,39.966465,22.2685146,south dakota
2019,64.3457031,154.693893,71.3171158,127.499298,90.9890747,97.6223145,47.3690834,31.8508492,south dakota
2020,24.3210773,76.4060287,99.9584808,79.5587006,38.6695938,21.8090343,29.5354462,14.8482246,south dakota
2021,49.3227386,71.674675,44.3040733,72.2487411,76.7898483,49.885128,44.1257314,22.087916131249997,south dakota
2013,125.472008,141.529617,145.718353,68.8612671,79.5087814,68.71521,102.995537,82.8584595,wisconsin
2014,132.565735,101.807022,171.927948,68.8319473,135.575058,100.037155,84.7382889,65.8954926,wisconsin
2015,90.5156403,120.077156,107.449692,88.8467102,113.214546,132.655289,77.4481277,114.074501,wisconsin
2016,64.9565048,89.6594467,138.320526,150.105804,136.675919,179.998154,80.8992996,72.6169968,wisconsin
2017,141.527374,125.72007,160.560776,129.606812,105.1492,67.0609207,118.435219,36.8444633,wisconsin
2018,43.8909225,143.385056,150.083527,78.6744232,157.413361,144.030746,136.993866,57.5039902,wisconsin
2019,107.830093,142.015778,113.345993,127.254059,88.932457,199.307434,122.536537,70.8104172,wisconsin
2020,66.9447861,123.066467,159.542618,144.66394,94.3277588,81.0250015,105.778137,72.2976379,wisconsin
2021,73.8879852,86.3479691,122.078644,118.992012,172.954346,67.6819916,103.728126525,71.6127448125,wisconsin
