year,state_name,county_name,Value
2019,ILLINOIS,KANE,245.6315932523706
2018,ILLINOIS,KANE,357.8804051016183
2017,ILLINOIS,KANE,319.5242824737921
2016,ILLINOIS,KANE,389.83537348956895
2015,ILLINOIS,KANE,347.21181470182563
2014,ILLINOIS,KANE,380.05583228975894
2013,ILLINOIS,KANE,437.86943169435
2021,ILLINOIS,KENDALL,373.55307242702816
2020,ILLINOIS,KENDALL,316.476113788137
2019,ILLINOIS,KENDALL,289.5506237315173
2018,ILLINOIS,KENDALL,388.3366905524552
2017,ILLINOIS,KENDALL,388.03187368388967
2016,ILLINOIS,KENDALL,406.0160689292545
2013,ILLINOIS,KENDALL,392.52792249523094
2021,ILLINOIS,LAKE,26.31585631948872
2020,ILLINOIS,LAKE,34.72372161075394
2019,ILLINOIS,LAKE,15.723470136837374
2017,ILLINOIS,LAKE,29.008405325150697
2016,ILLINOIS,LAKE,33.021827427929864
2015,ILLINOIS,LAKE,30.430884045123058
2014,ILLINOIS,LAKE,29.186215165147242
2013,ILLINOIS,LAKE,32.79321477650573
2020,ILLINOIS,LA SALLE,1332.3799339055424
2019,ILLINOIS,LA SALLE,1085.2242563103441
2018,ILLINOIS,LA SALLE,1526.3704693417733
2017,ILLINOIS,LA SALLE,1480.7241432740889
2016,ILLINOIS,LA SALLE,1488.5731776396506
2015,ILLINOIS,LA SALLE,1296.132127951961
2014,ILLINOIS,LA SALLE,1447.473703194735
2013,ILLINOIS,LA SALLE,1492.5103955252882
2020,ILLINOIS,MCHENRY,387.2698315124759
2018,ILLINOIS,MCHENRY,423.1366163803505
2017,ILLINOIS,MCHENRY,381.57991663258645
2016,ILLINOIS,MCHENRY,475.9461388593245
2015,ILLINOIS,MCHENRY,431.90010135160884
2014,ILLINOIS,MCHENRY,411.85839224342675
2013,ILLINOIS,MCHENRY,403.3489213293064
2021,ILLINOIS,WILL,419.3518069289955
2020,ILLINOIS,WILL,394.68704198090325
2018,ILLINOIS,WILL,433.57659412871914
2017,ILLINOIS,WILL,431.39207323733297
2015,ILLINOIS,WILL,394.28061948948255
2014,ILLINOIS,WILL,429.6647776487951
2013,ILLINOIS,WILL,399.2084921979582
2019,ILLINOIS,OTHER (COMBINED) COUNTIES,802.4812093101232
2020,ILLINOIS,ADAMS,690.6388199522962
2019,ILLINOIS,ADAMS,547.2986875093668
2018,ILLINOIS,ADAMS,738.5458711285082
2017,ILLINOIS,ADAMS,732.5003365686258
2016,ILLINOIS,ADAMS,798.9504139159061
2015,ILLINOIS,ADAMS,622.3090385821952
2014,ILLINOIS,ADAMS,818.9921230240882
2013,ILLINOIS,ADAMS,595.5613583655719
2021,ILLINOIS,BROWN,170.9514604538215
2020,ILLINOIS,BROWN,162.5435951625563
2018,ILLINOIS,BROWN,162.2387782939908
2017,ILLINOIS,BROWN,175.39670645373516
2016,ILLINOIS,BROWN,188.04660649920368
2015,ILLINOIS,BROWN,170.13861547098017
2014,ILLINOIS,BROWN,199.22322501327224
2013,ILLINOIS,BROWN,188.47843039633813
2021,ILLINOIS,FULTON,634.2222978619637
2020,ILLINOIS,FULTON,617.2033560337229
2019,ILLINOIS,FULTON,567.5944106746867
2018,ILLINOIS,FULTON,735.9041249342739
2017,ILLINOIS,FULTON,595.3327457141478
2016,ILLINOIS,FULTON,603.2325828911372
2015,ILLINOIS,FULTON,558.5515102405767
2014,ILLINOIS,FULTON,635.2891569019429
2013,ILLINOIS,FULTON,597.6188722283891
2021,ILLINOIS,HANCOCK,828.7462628181843
2020,ILLINOIS,HANCOCK,853.0554080862835
2018,ILLINOIS,HANCOCK,995.9383152263647
2017,ILLINOIS,HANCOCK,905.8903319709713
2016,ILLINOIS,HANCOCK,921.5884007020949
2015,ILLINOIS,HANCOCK,755.6410171738904
2014,ILLINOIS,HANCOCK,973.6866838210827
2013,ILLINOIS,HANCOCK,769.9674099964693
2020,ILLINOIS,HENDERSON,487.14815877910684
2019,ILLINOIS,HENDERSON,435.8627206429604
2018,ILLINOIS,HENDERSON,477.7750400707175
2017,ILLINOIS,HENDERSON,526.0377109269227
2016,ILLINOIS,HENDERSON,516.3597753499679
2015,ILLINOIS,HENDERSON,469.4179775908799
2014,ILLINOIS,HENDERSON,518.1124723442196
2013,ILLINOIS,HENDERSON,419.7582294204161
2021,ILLINOIS,KNOX,777.4354232763242
2020,ILLINOIS,KNOX,796.7150902130924
2019,ILLINOIS,KNOX,758.1303549338421
2018,ILLINOIS,KNOX,905.7633249424023
2017,ILLINOIS,KNOX,875.7388633887
2016,ILLINOIS,KNOX,871.6492370687794
2015,ILLINOIS,KNOX,838.8052194808461
2014,ILLINOIS,KNOX,818.2046794469605
2013,ILLINOIS,KNOX,780.1533736876999
2020,ILLINOIS,MCDONOUGH,694.8046504893581
2019,ILLINOIS,MCDONOUGH,641.2838886503979
2018,ILLINOIS,MCDONOUGH,790.288534567503
2017,ILLINOIS,MCDONOUGH,811.8035252070849
2016,ILLINOIS,MCDONOUGH,806.9010539043231
2015,ILLINOIS,MCDONOUGH,671.9179839412312
2014,ILLINOIS,MCDONOUGH,795.3688157102615
2013,ILLINOIS,MCDONOUGH,693.2551647408168
2021,ILLINOIS,SCHUYLER,275.8338646460695
2020,ILLINOIS,SCHUYLER,282.8446526230762
2019,ILLINOIS,SCHUYLER,226.17411647560576
2018,ILLINOIS,SCHUYLER,321.55639493089546
2017,ILLINOIS,SCHUYLER,320.38793026806104
2016,ILLINOIS,SCHUYLER,339.13416768483967
2015,ILLINOIS,SCHUYLER,284.0639200973382
2014,ILLINOIS,SCHUYLER,364.38316496434913
2013,ILLINOIS,SCHUYLER,264.9112601891389
2020,ILLINOIS,WARREN,796.4102733445269
2019,ILLINOIS,WARREN,746.8013279854908
2018,ILLINOIS,WARREN,904.8742757424196
2017,ILLINOIS,WARREN,956.7947490214108
2016,ILLINOIS,WARREN,941.9349266788424
2015,ILLINOIS,WARREN,806.2406173557645
2014,ILLINOIS,WARREN,850.2104506463387
2013,ILLINOIS,WARREN,741.6702440313047
2019,ILLINOIS,OTHER (COMBINED) COUNTIES,920.9787669649638
2018,ILLINOIS,OTHER (COMBINED) COUNTIES,993.6775901178372
2013,ILLINOIS,OTHER (COMBINED) COUNTIES,947.8026513987285
2021,ILLINOIS,DE WITT,526.0885137383502
2020,ILLINOIS,DE WITT,512.9305855786059
2018,ILLINOIS,DE WITT,577.221543440214
2017,ILLINOIS,DE WITT,508.6631494186888
2016,ILLINOIS,DE WITT,577.0183321945036
2015,ILLINOIS,DE WITT,562.05690422908
2014,ILLINOIS,DE WITT,593.2752318513308
2021,ILLINOIS,LOGAN,878.5838208286447
2020,ILLINOIS,LOGAN,974.8551484839171
2019,ILLINOIS,LOGAN,890.2430660512754
2018,ILLINOIS,LOGAN,1027.9694878314565
2017,ILLINOIS,LOGAN,986.3365838665512
2016,ILLINOIS,LOGAN,1110.6256620241363
2015,ILLINOIS,LOGAN,853.5380347948457
2014,ILLINOIS,LOGAN,1172.427282125793
2013,ILLINOIS,LOGAN,1041.584641294049
2021,ILLINOIS,MCLEAN,1635.3424998539422
2020,ILLINOIS,MCLEAN,1588.2990964719988
2019,ILLINOIS,MCLEAN,1567.5715494095443
2018,ILLINOIS,MCLEAN,1817.2673675761218
2017,ILLINOIS,MCLEAN,1734.3063765148765
2016,ILLINOIS,MCLEAN,1786.7348779081435
2015,ILLINOIS,MCLEAN,1604.04796801455
2014,ILLINOIS,MCLEAN,1788.4621734966813
2013,ILLINOIS,MCLEAN,1600.4917712146191
2021,ILLINOIS,MACON,748.0967996768941
2020,ILLINOIS,MACON,777.4608246820379
2019,ILLINOIS,MACON,764.6331147965728
2018,ILLINOIS,MACON,900.556036771075
2017,ILLINOIS,MACON,784.3700070361895
2016,ILLINOIS,MACON,852.6489855948629
2015,ILLINOIS,MACON,810.6604619499643
2014,ILLINOIS,MACON,963.3229102898555
2013,ILLINOIS,MACON,772.9647758706967
2021,ILLINOIS,MARSHALL,507.7995016244199
2020,ILLINOIS,MARSHALL,480.92481437922777
2019,ILLINOIS,MARSHALL,453.21188074548047
2018,ILLINOIS,MARSHALL,517.7568526642265
2017,ILLINOIS,MARSHALL,567.2387909946937
2016,ILLINOIS,MARSHALL,553.6490389378149
2015,ILLINOIS,MARSHALL,497.8675519903271
2014,ILLINOIS,MARSHALL,536.4522872695775
2013,ILLINOIS,MARSHALL,510.0856281386612
2021,ILLINOIS,MASON,583.1654723772414
2020,ILLINOIS,MASON,592.6147953027721
2019,ILLINOIS,MASON,545.1141666179807
2017,ILLINOIS,MASON,598.7619354855098
2016,ILLINOIS,MASON,654.848239301563
2015,ILLINOIS,MASON,542.6502302637429
2014,ILLINOIS,MASON,690.5626157351548
2013,ILLINOIS,MASON,580.7269374287173
2021,ILLINOIS,MENARD,384.95830359252085
2020,ILLINOIS,MENARD,421.9427503118023
2017,ILLINOIS,MENARD,436.0659318886707
2016,ILLINOIS,MENARD,433.39878428872254
2015,ILLINOIS,MENARD,382.4435644268554
2014,ILLINOIS,MENARD,463.3216402195698
2021,ILLINOIS,PEORIA,552.6837855206908
2020,ILLINOIS,PEORIA,571.2776145031867
2019,ILLINOIS,PEORIA,490.7043555790377
2018,ILLINOIS,PEORIA,598.990548136934
2017,ILLINOIS,PEORIA,588.7537816342757
2016,ILLINOIS,PEORIA,579.4314657373139
2015,ILLINOIS,PEORIA,501.1189319216926
2014,ILLINOIS,PEORIA,584.6895567200689
